sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
2205,-81,3,1,1,0,0,1,2,1,9
2210,-64,3,2,0,0,0,1,1,1,8
2215,-64,3,2,0,0,0,1,0,2,8
2220,-81,3,3,0,0,0,1,0,2,9
2225,-64,3,3,0,0,0,1,0,1,8
2230,-81,4,3,1,0,0,1,0,0,9
2235,-81,4,3,1,0,0,1,0,0,9
2240,-81,4,3,1,0,0,1,0,0,9
2245,-121,4,3,1,0,0,2,1,0,11
2250,-144,5,3,1,0,0,2,1,0,12
2255,-121,4,3,1,0,0,2,1,0,11
2260,-49,2,3,1,0,0,0,1,0,7
2265,-36,0,3,1,0,0,0,2,0,6
2270,-64,0,4,1,0,1,0,2,0,8
2275,-81,0,4,1,0,2,0,2,0,9
2280,-100,0,4,1,0,2,0,3,0,10
2285,-64,0,3,1,0,1,0,3,0,8
2290,-49,0,2,1,0,0,0,3,1,7
2295,-36,0,0,1,0,0,0,4,1,6
2300,-36,0,0,1,0,0,0,4,1,6
2305,-49,0,0,1,0,0,0,4,2,7
2310,-49,0,0,1,0,0,0,4,2,7
2315,-36,0,0,1,0,0,0,3,2,6
2320,-16,0,0,1,0,0,0,0,3,4
2325,-25,0,0,0,1,0,0,0,4,5
2330,-25,0,0,0,1,0,0,0,4,5
2335,-49,0,0,0,1,0,1,0,5,7
2340,-49,0,0,0,1,0,1,0,5,7
2345,-49,0,0,1,1,0,1,0,4,7
2350,-4,0,0,1,0,0,1,0,0,2
2355,-9,0,0,1,0,0,1,1,0,3
2360,-16,0,0,1,0,0,2,1,0,4
2365,-16,0,0,1,0,0,2,1,0,4
2370,-25,0,0,1,0,0,2,2,0,5
2375,-25,0,0,1,0,0,2,2,0,5
2380,-9,0,0,0,0,0,2,1,0,3
2385,-9,0,0,0,0,0,2,1,0,3
2390,-9,0,0,0,0,1,2,0,0,3
2395,-16,0,0,0,1,1,2,0,0,4
2400,-16,0,0,0,1,1,2,0,0,4
2405,-4,0,0,0,1,1,0,0,0,2
2410,-16,0,0,1,2,1,0,0,0,4
2415,-25,0,0,1,3,1,0,0,0,5
2420,-49,0,0,1,3,1,0,0,2,7
2425,-64,0,0,1,4,1,0,0,2,8
2430,-81,0,0,1,4,1,0,0,3,9
2435,-81,0,0,1,4,1,0,0,3,9
2440,-9,0,0,1,1,1,0,0,0,3
2445,-4,0,0,1,0,1,0,0,0,2
2450,-4,0,0,1,0,1,0,0,0,2
2455,-9,0,0,1,0,1,0,1,0,3
2460,-16,0,0,1,0,1,0,2,0,4
2465,-16,0,0,0,0,1,0,1,2,4
2470,-25,0,0,0,0,1,1,0,3,5
2475,-64,1,0,0,1,1,2,0,3,8
2480,-64,1,0,0,1,1,2,0,3,8
2485,-81,1,0,0,2,1,2,0,3,9
2490,-81,1,0,0,2,1,2,0,3,9
2495,-81,1,0,0,2,1,2,2,1,9
2500,-81,1,0,0,0,2,2,4,0,9
2505,-169,2,0,0,0,3,3,5,0,13
2510,-169,2,0,0,0,3,3,5,0,13
2515,-196,2,0,0,0,3,3,6,0,14
2520,-196,2,0,0,0,3,3,6,0,14
2525,-169,2,0,0,1,3,3,4,0,13
2530,-121,2,0,0,1,3,3,1,1,11
2535,-100,2,0,0,1,3,3,0,1,10
2540,-121,2,0,0,2,3,3,0,1,11
2545,-144,2,0,0,2,3,3,0,2,12
2550,-169,2,0,0,2,3,3,0,3,13
2555,-169,2,0,0,2,3,2,0,4,13
2560,-81,0,0,0,2,3,0,0,4,9
